6.699152529239654763e-01,7.559321939945220503e-01,6.936440765857696533e-01,9.360169529914855735e-01
7.733050882816314697e-01,7.254237294197082297e-01,7.745762765407562256e-01,7.720338881015778032e-01
7.991525471210479958e-01,7.877118647098541038e-01,6.504237353801727295e-01,9.127118766307831255e-01
7.148305177688598633e-01,6.699152588844299316e-01,6.953389883041382058e-01,7.266949176788329856e-01
7.194915413856506348e-01,6.491525352001190630e-01,6.512711942195892334e-01,6.597457647323607954e-01
8.156779706478118896e-01,6.885593295097350852e-01,6.703389883041381836e-01,7.436440646648406760e-01
7.961864352226257768e-01,7.266949176788329856e-01,6.720338940620422807e-01,9.233050823211670366e-01
7.021186530590057817e-01,7.703389823436737061e-01,7.220339059829712358e-01,8.847457587718963179e-01
6.936440646648407427e-01,7.525423705577850564e-01,7.165254235267639604e-01,8.889830470085143821e-01
7.563559412956237793e-01,7.249999999999999778e-01,7.347457647323608620e-01,7.779660999774933305e-01
6.983050882816315141e-01,6.911016941070556863e-01,8.110169529914855735e-01,6.822033882141113059e-01
6.627118647098541038e-01,8.728813469409942849e-01,6.572033822536468284e-01,6.771186411380767378e-01
7.398305118083954302e-01,9.165254235267639160e-01,6.419491589069366011e-01,7.135593235492706521e-01
7.559321999549866167e-01,7.059322059154510276e-01,7.004237294197082075e-01,7.440678000450133833e-01
7.944915175437927690e-01,7.716101765632629172e-01,7.974576294422149880e-01,8.012711882591248003e-01
7.055084884166717973e-01,7.614406764507293257e-01,6.720339000225067361e-01,7.012711763381958008e-01
6.733050763607024702e-01,7.266949117183685303e-01,9.440677940845489946e-01,6.847457706928252730e-01
7.974576294422149880e-01,6.741525411605835405e-01,8.788135468959807906e-01,7.322033941745758057e-01
7.300847530364990012e-01,7.258474647998809370e-01,6.792372941970825639e-01,7.631355881690978782e-01
7.093220353126525879e-01,8.470338940620422141e-01,6.326271176338196245e-01,7.322033941745758057e-01
6.741525411605835405e-01,7.961864292621612105e-01,6.936440765857696533e-01,6.745762825012207031e-01
7.169491529464722124e-01,7.118644118309020996e-01,7.627118647098540816e-01,6.995762646198272483e-01
8.038135588169097456e-01,7.377118647098541704e-01,8.978813588619232178e-01,7.529660940170288530e-01
7.169491648674011230e-01,8.572034001350402610e-01,7.224576294422149214e-01,6.779660999774932417e-01
6.978813588619232622e-01,7.957627117633819802e-01,9.249999940395354781e-01,7.317796707153320090e-01
6.639830529689788596e-01,6.423728883266448531e-01,6.957627177238464578e-01,7.720338940620422585e-01
7.987288177013397439e-01,7.677966058254241943e-01,1.000000000000000000e+00,8.199152469635009322e-01
7.029660999774932639e-01,6.292372822761536089e-01,7.364406764507294145e-01,7.127118706703186035e-01
6.932203292846679243e-01,7.283898293972015381e-01,6.966101706027985063e-01,6.800847470760345015e-01
7.046610116958618164e-01,6.313559353351593240e-01,7.394067883491516335e-01,6.305084705352783647e-01
7.703389704227447954e-01,6.546610176563263384e-01,6.826271176338195579e-01,7.516949176788330078e-01
6.550847470760345903e-01,7.631356060504913552e-01,1.000000000000000000e+00,7.118644118309020996e-01
